"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"void dequantize_block_q4_0<__half>(void const*, __half*, int)",1184,3809569,3217.541385,0.1234,1480,4440,377.729986
"void mul_mat_vec_q<(ggml_type)10, 4, false, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",30,3661724,122057.466667,0.1186,67401,191123,35026.112172
"void mul_mat_vec_q<(ggml_type)11, 1, true, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",31,3657442,117982.000000,0.1184,115922,131482,2650.108048
"__amd_rocclr_fillBufferAligned",9,3568723,396524.777778,0.1156,43920,2068746,639767.339802
"void ssm_conv_f32<true, 128ul, 4ul>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long)",1680,3548923,2112.454167,0.1149,1520,12000,418.858872
"void concat_cont<unsigned int, 0>(unsigned int const*, unsigned int const*, unsigned int*, long, long, long, long, long, long)",1488,3403817,2287.511425,0.1102,1800,3040,199.398460
"void fwht_cuda<256>(float const*, float*, long, float)",1184,3256206,2750.173986,0.1054,1160,24600,3439.846471
"void unary_gated_op_kernel<&(op_softplus(float)), float>(float const*, float const*, float*, long, long, long, long)",1488,2966362,1993.522849,0.0961,1480,2840,144.961408
"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1, false>(float const*, int const*, void*, long, long, long, long, long, int, int, int)",84,2780591,33102.273810,0.0900,17080,104561,19738.345201
"void mul_mat_vec_q<(ggml_type)19, 2, false, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",40,2705914,67647.850000,0.0876,62841,73921,2718.371916
"void unary_gated_op_kernel<&(op_sigmoid(float)), float>(float const*, float const*, float*, long, long, long, long)",592,2537151,4285.728041,0.0822,1840,45120,9012.494073
"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int)",560,2409990,4303.553571,0.0780,2920,5040,272.622454
"void fwht_cuda<64>(float const*, float*, long, float)",1184,2368431,2000.364020,0.0767,1000,22921,3379.828057
"void unary_op_kernel<&(op_sigmoid(float)), float>(float const*, float*, int)",1776,2323911,1308.508446,0.0753,920,2600,222.562262
"void mul_mat_vec_q<(ggml_type)10, 1, true, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",31,2269068,73195.741935,0.0735,72201,74321,518.642649
"void mul_mat_vec_q<(ggml_type)23, 4, false, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int)",38,2221033,58448.236842,0.0719,8120,96882,33604.971811
