Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
183,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6997146577892,6997146580612,0
184,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6997146609832,6997146612512,0
185,1,1,121619,121619,512,512,0,0,16,0,128,32,"__amd_rocclr_copyBuffer.kd",6997146642212,6997146645172,0
186,1,2,121619,121619,2048,1024,512,0,16,0,128,32,"void rms_norm_f32<1024, true, false>(float const*, float*, int, long, long, long, float, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, float const*, long, long, long, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>, HIP_vector_type<unsigned int, 3u>) (.kd)",6997149168647,6997149175007,0
187,1,2,121619,121619,30720,256,0,0,8,0,128,32,"scale_f32(float const*, float*, float, float, long) (.kd)",6997149757710,6997149760390,0
188,1,2,121619,121619,30720,256,0,0,16,0,128,32,"void k_get_rows_float<float, float>(float const*, int const*, float*, long, long, HIP_vector_type<unsigned int, 3u>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long) (.kd)",6997155246203,6997155250283,0
189,1,2,121619,121619,10240,256,0,0,16,0,128,32,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>) (.kd)",6997156352009,6997156355689,0
190,1,2,121619,121619,327680,32,0,0,96,0,128,32,"void mul_mat_vec_q<(ggml_type)18, 2, false, false, false>(void const*, void const*, int const*, ggml_cuda_mm_fusion_args_device, float*, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, HIP_vector_type<unsigned int, 3u>, unsigned int, unsigned int, unsigned int, unsigned int) (.kd)",6997168036398,6997168168999,0
191,1,2,121619,121619,2621440,256,0,0,16,0,128,32,"void concat_non_cont<unsigned int, 0>(char const*, char const*, char*, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long, long, long, long, long, unsigned long, unsigned long, unsigned long, unsigned long) (.kd)",6997169988840,6997170011240,0
192,1,2,121619,121619,30720,64,0,0,32,0,128,32,"void cpy_scalar<&void cpy_1_scalar<float, float>(char const*, char*)>(char const*, char*, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long) (.kd)",6997172390664,6997172396384,0
193,1,2,121619,121619,786432,256,0,0,8,0,128,32,"scale_f32(float const*, float*, float, float, long) (.kd)",6997172409544,6997172423144,0
194,1,2,121619,121619,196608,256,0,0,24,0,128,32,"void k_get_rows_float_vec<float>(float const*, int const*, float*, long, long, HIP_vector_type<unsigned int, 3u>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long) (.kd)",6997172433024,6997172441784,0
195,1,2,121619,121619,10240,128,0,0,24,0,128,32,"void ssm_conv_f32<true, 128ul, 4ul>(float const*, float const*, float const*, int, int, int, int, float*, int, int, int, long) (.kd)",6997173850793,6997173855033,0
196,1,2,121619,121619,1024,32,0,0,8,0,128,32,"void l2_norm_f32<32>(float const*, float*, int, long, long, long, float) (.kd)",6997173864713,6997173867913,0
197,1,2,121619,121619,1024,32,0,0,8,0,128,32,"void l2_norm_f32<32>(float const*, float*, int, long, long, long, float) (.kd)",6997173877273,6997173879553,0
198,1,2,121619,121619,10240,256,0,0,16,0,128,32,"quantize_q8_1(float const*, void*, long, long, long, long, long, unsigned int, HIP_vector_type<unsigned int, 3u>) (.kd)",6997173888833,6997173891353,0
